several,1
age,8
related,8
diseases,11
one,5
gene,10
therapy,11
combo,1
multiple,8
improvements,1
recalling,1
the,33
exploits,1
of,24
grimm,1
brothers’,1
brave,1
little,1
tailor,1
scientists,4
at,5
harvard’s,1
wyss,3
institute,2
showed,1
that,11
they,3
could,7
treat,4
with,3
a,23
single,5
although,1
based,2
in,16
george,1
m,1
church’s,1
laboratory,2
couldn’t,1
boast,1
slaying,1
seven,1
giants,1
blow,1
did,2
help,3
mice,5
fare,1
better,1
against,1
obesity,3
type,1
2,2
diabetes,3
heart,4
failure,5
and,24
renal,2
yes,1
that’s,1
just,1
four,2
but,2
were,4
mitigated,1
by,4
therapies,4
delivered,3
combinations,1
longevity,4
genes,6
some,1
instances,1
reversed,1
dose,2
details,2
this,2
work,1
are,2
not,3
to,15
be,4
found,1
fairy,1
tale,1
peer,1
reviewed,1
article,3
“a,2
combination,4
treats,1
diseases”,1
appeared,1
november,1
4,1
proceedings,1
national,1
academy,1
sciences,2
pnas,3
article’s,2
first,2
author,2
noah,1
davidsohn,4
phd,1
said,2
“the,1
results,3
…,1
stunning,1
suggest,1
holistically,1
addressing,4
aging,5
via,2
more,1
effective,1
than,1
piecemeal,1
approach,2
currently,2
exists.”,1
“everyone,1
wants,1
stay,1
as,7
healthy,1
possible,1
for,4
long,1
possible,”,1
added,1
who,2
was,2
formerly,1
research,2
scientist,1
is,5
chief,1
technology,2
officer,1
rejuvenate,3
bio,3
“this,2
study,1
step,2
toward,2
reducing,1
suffering,1
caused,1
debilitating,1
diseases.”,2
church,3
colleagues,1
developed,1
on,2
three,2
associated,4
genes:,1
fibroblast,1
growth,2
factor,2
21,1
fgf21,2
soluble,1
form,1
mouse,1
transforming,1
β,1
receptor,1
stgfβr2,1
αklotho,2
these,2
individually,1
combinatorially,1
using,1
adeno,1
viruses,1
aavs,1
“we,1
observed,1
58%,1
increase,1
function,1
ascending,1
aortic,1
constriction,1
ensuing,1
38%,1
reduction,2
α,1
smooth,1
muscle,1
actin,1
αsma,1
expression,1
75%,1
medullary,1
atrophy,1
subjected,1
unilateral,1
ureteral,1
obstruction,1
complete,1
reversal,1
phenotypes,1
fed,1
constant,1
high,1
fat,1
diet,”,1
authors,3
wrote,2
“crucially,1
we,2
discovered,1
formulation,1
combining,1
two,1
separate,3
into,2
able,3
all,2
administering,2
together,1
resulted,1
slightly,1
worse,1
outcomes,1
likely,1
from,3
an,1
adverse,1
interaction,1
between,2
which,2
remains,1
studied,1
importantly,1
injected,1
remained,1
animals’,1
native,1
genomes,1
modify,1
their,1
natural,1
dna,1
passed,1
future,1
generations,1
or,1
living,1
animals,1
hypothesized,1
providing,1
nonengineered,1
would,1
similarly,1
combat,1
confer,1
health,4
benefits,1
also,3
expressed,1
optimism,1
systems,1
level,1
treating,2
improve,2
overall,1
lifespan,1
“achieving,1
nontransgenic,1
major,1
being,2
develop,2
treatment,1
co,3
disease,2
alleviate,2
immune,2
issues,2
arise,1
alternative,2
delivering,1
each,2
disease,”,1
core,1
faculty,1
member,1
professor,2
genetics,1
harvard,2
medical,1
school,1
mit,1
marks,1
milestone,1
effectively,1
many,2
perhaps,2
lead,1
means,2
itself.”,2
our,1
bodies,1
tend,1
like,1
kidney,1
presence,1
any,1
increases,2
risk,2
developing,1
others,1
traditional,1
drug,2
development,1
usually,1
only,1
targets,1
condition,1
largely,1
ignoring,1
interconnectedness,1
requiring,1
patients,1
take,1
drugs,1
negative,1
side,1
effects,1
aav,3
may,3
response,1
when,1
considering,1
independent,1
therapies,”,1
noted,1
“future,1
studies,1
build,1
concept,1
presented,1
here,1
address,1
process,1
sewing,1
things,1
up,1
“these,1
emphasize,1
promise,1
diverse,1
ailments,1
demonstrate,1
potential,1
span,1
once.”,1
daniel,1
oliver,1
founders,1
biotechnology,1
company,1
pursuing,1
treatments,1
dogs,1
holds,1
equity,1
